id,marka,model,buraxilish_ili,sheher,qiymet,reng,yurush,muherrik_hecmi,at_gucu,benzin_tipi,suretler_qutusu,yeni,veziyyeti,elana_baxish_sayi
8741313,Mercedes,C 220,1996,Bakı,7500,Qara,374000,2.2,150,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2478
7962465,Mercedes,C 300 4MATIC,2015,Bakı,36900,Qara,112000,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2441
8750535,Mercedes,C 220 d,1999,Bakı,12800,Ağ,655715,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",623
8692605,Mercedes,E 240,2001,Bakı,16900,Gümüşü,350000,2.4,170,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",12932
8738890,Mercedes,ML 250 4MATIC,2012,Bakı,40800,Qara,214000,2.2,204,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1033
8751249,Mercedes,E 200,1994,Bakı,6500,Gümüşü,421429,2.0,136,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",140
8742962,Mercedes,E 280,2007,Bakı,24900,Qara,357212,3.0,190,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",986
8676030,Mercedes,C 220 d,2016,Bakı,41650,Gümüşü,175000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2132
8751242,Mercedes,E 220 d,2001,Gəncə,16200,Bənövşəyi,400000,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",111
8656566,Mercedes,E 300,2019,Bakı,62730,Ağ,23000,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",753
8650241,Mercedes,E 220 d,2016,Bakı,50830,Qara,165000,2.2,205,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",284
8717738,Mercedes,GL 350 4MATIC,2013,Bakı,56950,Gümüşü,280000,3.0,258,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",4716
8281767,Mercedes,E 300,2018,Bakı,60821,Qara,114900,2.0,252,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1524
8711537,Mercedes,E 220 d,2015,Bakı,37230,Qara,255000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",667
8725482,Mercedes,S 350 d 4MATIC,2015,Bakı,79730,Qara,155000,3.0,249,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",475
8004804,Mercedes,E 220 d,2013,Bakı,29800,Ağ,187000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",6928
8751235,Mercedes,ML 350 4MATIC,2005,Bakı,19600,Gümüşü,376000,3.5,272,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",53
8749371,Mercedes,C 250,2013,Bakı,24500,Ağ,210000,1.8,204,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",182
8751228,Mercedes,E 200 d,1991,Gəncə,5800,Yaş Asfalt,600000,2.0,75,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",140
8746017,Mercedes,C 230,2003,Göyçay,11000,Gümüşü,271075,1.8,192,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",802
8751234,Mercedes,C 220 d,2000,Bakı,12800,Gümüşü,549088,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",51
8736003,Mercedes,C 220 d,2000,Bakı,12500,Qara,400000,2.2,175,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",494
